0.415,0.446,1
0.47,0.007,1
0.784,0.5,0
0.406,0.451,0
0.466,0.452,1
0.607,0.545,0
0.039,0.275,0
0.707,0.47,0
0.482,0.381,0
0.491,0.035,0
0.007,0.148,1
0.043,0.198,1
0.641,0.003,1
0.518,0.049,1
0.454,0.371,1
0.781,0.426,1
0.01,0.192,1
0.46,0.07,0
0.046,0.1,1
0.478,0.013,0
0.426,0.393,1
0.502,0.332,0
0.634,0.343,0
0.482,0.549,1
0.555,0.085,0
0.077,0.164,0
0.561,0.043,1
0.044,0.282,0
0.472,0.449,0
0.409,0.054,1
0.724,0.364,1
0.578,0.03,0
0.423,0.151,1
0.629,0.031,0
0.52,0.085,1
0.421,0.081,0
0.437,0.369,1
0.685,0.424,1
0.49,0.46,1
0.558,0.464,0
0.602,0.032,1
0.511,0.048,1
0.778,0.568,0
0.411,0.357,1
0.843,0.47,1
0.066,0.087,0
0.023,0.199,1
0.799,0.552,1
0.469,0.111,1
0.544,0.003,0
0.682,0.449,1
0.526,0.017,0
0.462,0.083,0
0.618,0.386,1
0.009,0.192,1
0.742,0.526,1
0.717,0.302,1
0.636,0.455,1
0.707,0.546,1
0.646,0.462,0
0.761,0.388,0
0.477,0.032,1
0.188,0.177,0
0.793,0.386,0
0.658,0.627,0
0.456,0.416,0
0.79,0.417,0
0.453,0.133,0
0.452,0.496,0
0.46,0.085,0
0.702,0.631,0
0.471,0.095,1
0.045,0.17,0
0.426,0.287,1
0.506,0.376,0
0.561,0.005,0
0.569,0.079,0
0.561,0.403,1
0.599,0.454,1
0.023,0.258,0
0.023,0.25,1
0.463,0.031,1
0.841,0.565,0
0.492,0.396,0
0.42,0.449,0
0.707,0.581,0
0.533,0.451,0
0.729,0.52,0
0.511,0.026,1
0.512,0.065,0
0.04,0.247,0
0.453,0.032,1
0.08,0.058,0
0.466,0.039,1
0.435,0.425,1
0.54,0.001,0
0.51,0.463,0
0.512,0.006,0
0.404,0.105,1
0.507,0.39,1
0.456,0.048,1
0.634,0.579,1
0.045,0.223,1
0.433,0.456,0
0.081,0.254,0
0.466,0.397,0
0.335,0.045,1
0.476,0.048,0
0.436,0.055,1
0.771,0.435,0
0.489,0.332,1
0.444,0.027,1
0.662,0.485,0
0.749,0.476,0
0.493,0.007,0
0.019,0.082,1
0.047,0.211,1
0.447,0.356,1
0.628,0.43,1
0.424,0.391,0
0.091,0.166,0
0.677,0.424,0
0.387,0.351,1
0.576,0.365,0
0.834,0.511,1
0.564,0.076,1
0.433,0.441,1
0.499,0.01,0
0.162,0.127,1
0.867,0.568,0
0.395,0.495,0
0.72,0.375,0
0.682,0.416,1
0.761,0.475,0
0.447,0.022,0
0.445,0.431,0
0.661,0.417,1
0.606,0.577,1
0.039,0.214,1
0.401,0.358,1
0.094,0.187,1
0.73,0.456,1
0.482,0.463,1
0.446,0.406,1
0.409,0.526,1
0.725,0.505,1
0.019,0.071,1
0.707,0.403,0
0.498,0.497,1
0.716,0.481,0
0.666,0.361,0
0.025,0.07,0
0.765,0.488,0
0.631,0.445,0
0.014,0.258,1
0.638,0.441,0
0.711,0.434,0
0.461,0.013,1
0.537,0.008,0
0.727,0.573,1
0.491,0.459,0
0.057,0.211,1
0.674,0.491,0
0.862,0.436,1
0.534,0.002,0
0.13,0.191,1
0.031,0.12,1
0.506,0.003,1
0.529,0.019,0
0.506,0.317,0
0.713,0.549,1
0.127,0.147,0
0.031,0.098,0
0.456,0.416,0
0.442,0.478,0
0.062,0.218,1
0.475,0.036,0
0.511,0.563,1
0.552,0.432,0
0.51,0.415,0
0.766,0.463,1
0.462,0.034,0
0.042,0.209,1
0.003,0.075,1
0.357,0.41,0
0.439,0.038,0
0.926,0.53,0
0.522,0.069,0
0.626,0.431,1
0.496,0.035,1
0.769,0.4,0
0.367,0.294,1
0.007,0.243,0
0.017,0.108,1
0.541,0.024,1
0.456,0.424,1
0.573,0.009,0
0.056,0.232,1
0.774,0.365,1
0.025,0.198,0
0.42,0.375,1
0.819,0.387,0
0.024,0.115,1
0.514,0.489,1
0.408,0.451,0
0.459,0.336,1
0.461,0.464,1
0.056,0.277,0
0.419,0.084,0
0.711,0.458,1
0.438,0.322,0
0.509,0.385,0
0.042,0.17,0
0.453,0.419,1
0.069,0.253,1
0.442,0.004,0
0.093,0.17,1
0.021,0.059,1
0.034,0.097,1
0.03,0.187,1
0.493,0.024,1
0.501,0.363,1
0.497,0.496,0
0.082,0.079,1
0.768,0.404,0
0.46,0.366,0
0.556,0.018,0
0.504,0.439,0
0.462,0.008,0
0.431,0.43,0
0.004,0.277,0
0.736,0.387,1
0.057,0.194,1
0.067,0.163,0
0.519,0.103,1
0.008,0.209,1
0.474,0.374,0
0.575,0.527,0
0.693,0.461,0
0.461,0.469,0
0.414,0.42,0
0.468,0.129,1
0.834,0.501,0
0.005,0.262,1
0.076,0.04,0
0.056,0.152,1
0.041,0.135,1
0.056,0.172,0
0.042,0.321,0
0.444,0.458,1
0.691,0.434,0
0.07,0.299,0
0.514,0.503,0
0.485,0.462,1
0.442,0.003,0
0.521,0.084,0
0.423,0.106,0
0.468,0.027,0
0.787,0.46,1
0.105,0.048,1
0.025,0.142,1
0.012,0.095,0
0.001,0.238,0
0.433,0.4,0
0.43,0.023,1
0.498,0.066,0
0.023,0.186,0
0.719,0.473,1
0.031,0.253,1
0.74,0.466,1
0.098,0.086,1
0.028,0.227,0
0.494,0.343,0
0.492,0.328,1
0.579,0.485,1
0.921,0.383,0
0.752,0.481,0
0.584,0.15,0
0.441,0.042,1
0.58,0.033,1
0.499,0.109,1
0.026,0.237,0
0.462,0.029,1
0.525,0.437,1
0.421,0.11,1
0.468,0.415,1
0.09,0.259,0
0.1,0.164,1
0.102,0.068,0
0.661,0.528,1
0.056,0.219,0
0.836,0.363,0
0.554,0.049,1
0.773,0.452,1
0.493,0.054,0
0.46,0.067,0
0.453,0.479,1
0.048,0.211,0
0.147,0.301,1
0.747,0.558,1
0.545,0.47,0
0.308,0.089,1
0.72,0.504,0
0.78,0.427,0
0.12,0.16,1
0.032,0.17,1
0.534,0.377,0
0.788,0.441,1
0.044,0.056,1
0.427,0.022,0
0.51,0.042,1
0.788,0.503,0
0.512,0.012,0
0.033,0.219,1
0.847,0.45,1
0.499,0.002,1
0.695,0.532,1
0.024,0.127,0
0.777,0.377,1
0.438,0.076,1
0.482,0.034,1
0.022,0.24,1
0.04,0.217,0
0.725,0.428,1
0.047,0.219,1
0.021,0.279,1
0.807,0.403,1
0.05,0.185,0
0.628,0.413,0
0.618,0.469,1
0.506,0.388,0
0.008,0.184,0
0.722,0.465,1
0.743,0.543,0
0.006,0.182,0
0.656,0.39,1
0.529,0.02,0
0.47,0.386,1
0.726,0.558,0
0.009,0.196,1
0.656,0.435,1
0.055,0.248,1
0.885,0.522,1
0.411,0.428,1
0.397,0.057,0
0.591,0.44,0
0.408,0.06,0
0.409,0.017,1
0.565,0.435,1
0.012,0.118,0
0.026,0.105,1
0.5,0.372,0
0.722,0.455,0
0.458,0.448,0
0.064,0.073,1
0.506,0.546,0
0.761,0.495,0
0.057,0.202,0
0.748,0.433,1
0.415,0.057,1
0.006,0.115,1
0.751,0.545,0
0.443,0.12,1
0.861,0.492,0
0.487,0.368,0
0.643,0.46,1
0.673,0.552,0
0.39,0.044,1
0.441,0.477,1
0.911,0.563,0
0.032,0.168,0
0.05,0.15,0
0.481,0.023,1
0.023,0.188,1
0.483,0.051,0
0.71,0.412,1
0.021,0.237,0
0.052,0.091,0
0.695,0.452,0
0.646,0.397,0
0.457,0.417,1
0.543,0.328,1
0.465,0.105,0
0.636,0.444,1
0.425,0.05,0
0.009,0.237,1
0.507,0.369,1
0.032,0.255,0
0.496,0.285,0
0.507,0.011,0
0.093,0.27,0
0.41,0.02,0
0.53,0.401,0
0.078,0.265,1
0.43,0.11,1
0.535,0.27,0
0.566,0.399,1
0.041,0.12,1
0.696,0.376,0
0.501,0.498,1
0.785,0.564,1
0.49,0.491,0
0.557,0.06,1
0.703,0.451,0
0.558,0.059,0
0.036,0.051,1
0.005,0.176,0
0.112,0.164,0
0.542,0.418,1
0.494,0.059,1
0.742,0.496,0
0.052,0.03,1
0.058,0.134,1
0.096,0.17,1
0.017,0.19,1
0.685,0.479,0
0.434,0.017,1
0.486,0.038,0
0.723,0.344,1
0.508,0.476,1
0.462,0.021,1
0.492,0.378,0
0.742,0.428,1
0.509,0.481,1
0.757,0.42,1
0.733,0.416,1
0.783,0.391,0
0.725,0.505,0
0.695,0.552,0
0.001,0.161,0
0.484,0.068,0
0.468,0.403,0
0.473,0.04,1
0.513,0.316,0
0.774,0.502,1
0.015,0.149,0
0.442,0.07,0
0.619,0.574,0
0.005,0.145,1
0.071,0.09,1
0.005,0.194,1
0.647,0.418,0
0.738,0.41,0
0.754,0.417,1
0.589,0.076,1
0.733,0.478,0
0.45,0.372,0
0.526,0.394,0
0.03,0.111,1
0.516,0.364,0
0.094,0.043,1
0.038,0.151,1
0.569,0.338,0
0.753,0.466,0
0.544,0.078,0
0.605,0.322,0
0.019,0.24,1
0.781,0.52,0
0.016,0.234,0
0.462,0.081,1
0.504,0.325,1
0.006,0.212,0
0.03,0.168,0
0.413,0.054,0
0.498,0.141,1
0.028,0.28,0
0.462,0.029,0
0.015,0.17,1
0.522,0.413,0
0.499,0.027,0
0.663,0.429,0
0.01,0.168,1
0.622,0.441,0
0.551,0.405,1
0.044,0.191,0
0.019,0.155,1
0.022,0.197,1
0.49,0.01,0
0.522,0.021,0
0.461,0.043,1
0.821,0.36,0
0.004,0.22,0
0.844,0.412,1
0.539,0.464,1
0.397,0.313,1
0.496,0.299,0
0.608,0.47,1
0.559,0.427,1
0.578,0.393,1
0.661,0.504,0
0.516,0.426,1
0.452,0.033,0
0.077,0.099,0
0.479,0.454,0
0.834,0.494,1
0.462,0.03,0
0.051,0.048,1
0.022,0.234,1
0.709,0.428,1
0.471,0.086,1
0.07,0.198,0
0.766,0.428,0
0.566,0.039,0
0.435,0.386,0
0.331,0.092,0
0.099,0.091,0
