0.415,0.446
0.470,0.007
0.784,0.500
0.406,0.451
0.466,0.452
0.607,0.545
0.039,0.275
0.707,0.470
0.482,0.381
0.491,0.035
0.007,0.148
0.043,0.198
0.641,0.003
0.518,0.049
0.454,0.371
0.781,0.426
0.010,0.192
0.460,0.070
0.046,0.100
0.478,0.013
0.426,0.393
0.502,0.332
0.634,0.343
0.482,0.549
0.555,0.085
0.077,0.164
0.561,0.043
0.044,0.282
0.472,0.449
0.409,0.054
0.724,0.364
0.578,0.030
0.423,0.151
0.629,0.031
0.520,0.085
0.421,0.081
0.437,0.369
0.685,0.424
0.490,0.460
0.558,0.464
0.602,0.032
0.511,0.048
0.778,0.568
0.411,0.357
0.843,0.470
0.066,0.087
0.023,0.199
0.799,0.552
0.469,0.111
0.544,0.003
0.682,0.449
0.526,0.017
0.462,0.083
0.618,0.386
0.009,0.192
0.742,0.526
0.717,0.302
0.636,0.455
0.707,0.546
0.646,0.462
0.761,0.388
0.477,0.032
0.188,0.177
0.793,0.386
0.658,0.627
0.456,0.416
0.790,0.417
0.453,0.133
0.452,0.496
0.460,0.085
0.702,0.631
0.471,0.095
0.045,0.170
0.426,0.287
0.506,0.376
0.561,0.005
0.569,0.079
0.561,0.403
0.599,0.454
0.023,0.258
0.023,0.250
0.463,0.031
0.841,0.565
0.492,0.396
0.420,0.449
0.707,0.581
0.533,0.451
0.729,0.520
0.511,0.026
0.512,0.065
0.040,0.247
0.453,0.032
0.080,0.058
0.466,0.039
0.435,0.425
0.540,0.001
0.510,0.463
0.512,0.006
0.404,0.105
0.507,0.390
0.456,0.048
0.634,0.579
0.045,0.223
0.433,0.456
0.081,0.254
0.466,0.397
0.335,0.045
0.476,0.048
0.436,0.055
0.771,0.435
0.489,0.332
0.444,0.027
0.662,0.485
0.749,0.476
0.493,0.007
0.019,0.082
0.047,0.211
0.447,0.356
0.628,0.430
0.424,0.391
0.091,0.166
0.677,0.424
0.387,0.351
0.576,0.365
0.834,0.511
0.564,0.076
0.433,0.441
0.499,0.010
0.162,0.127
0.867,0.568
0.395,0.495
0.720,0.375
0.682,0.416
0.761,0.475
0.447,0.022
0.445,0.431
0.661,0.417
0.606,0.577
0.039,0.214
0.401,0.358
0.094,0.187
0.730,0.456
0.482,0.463
0.446,0.406
0.409,0.526
0.725,0.505
0.019,0.071
0.707,0.403
0.498,0.497
0.716,0.481
0.666,0.361
0.025,0.070
0.765,0.488
0.631,0.445
0.014,0.258
0.638,0.441
0.711,0.434
0.461,0.013
0.537,0.008
0.727,0.573
0.491,0.459
0.057,0.211
0.674,0.491
0.862,0.436
0.534,0.002
0.130,0.191
0.031,0.120
0.506,0.003
0.529,0.019
0.506,0.317
0.713,0.549
0.127,0.147
0.031,0.098
0.456,0.416
0.442,0.478
0.062,0.218
0.475,0.036
0.511,0.563
0.552,0.432
0.510,0.415
0.766,0.463
0.462,0.034
0.042,0.209
0.003,0.075
0.357,0.410
0.439,0.038
0.926,0.530
0.522,0.069
0.626,0.431
0.496,0.035
0.769,0.400
0.367,0.294
0.007,0.243
0.017,0.108
0.541,0.024
0.456,0.424
0.573,0.009
0.056,0.232
0.774,0.365
0.025,0.198
0.420,0.375
0.819,0.387
0.024,0.115
0.514,0.489
0.408,0.451
0.459,0.336
0.461,0.464
0.056,0.277
0.419,0.084
0.711,0.458
0.438,0.322
0.509,0.385
0.042,0.170
0.453,0.419
0.069,0.253
0.442,0.004
0.093,0.170
0.021,0.059
0.034,0.097
0.030,0.187
0.493,0.024
0.501,0.363
0.497,0.496
0.082,0.079
0.768,0.404
0.460,0.366
0.556,0.018
0.504,0.439
0.462,0.008
0.431,0.430
0.004,0.277
0.736,0.387
0.057,0.194
0.067,0.163
0.519,0.103
0.008,0.209
0.474,0.374
0.575,0.527
0.693,0.461
0.461,0.469
0.414,0.420
0.468,0.129
0.834,0.501
0.005,0.262
0.076,0.040
0.056,0.152
0.041,0.135
0.056,0.172
0.042,0.321
0.444,0.458
0.691,0.434
0.070,0.299
0.514,0.503
0.485,0.462
0.442,0.003
0.521,0.084
0.423,0.106
0.468,0.027
0.787,0.460
0.105,0.048
0.025,0.142
0.012,0.095
0.001,0.238
0.433,0.400
0.430,0.023
0.498,0.066
0.023,0.186
0.719,0.473
0.031,0.253
0.740,0.466
0.098,0.086
0.028,0.227
0.494,0.343
0.492,0.328
0.579,0.485
0.921,0.383
0.752,0.481
0.584,0.150
0.441,0.042
0.580,0.033
0.499,0.109
0.026,0.237
0.462,0.029
0.525,0.437
0.421,0.110
0.468,0.415
0.090,0.259
0.100,0.164
0.102,0.068
0.661,0.528
0.056,0.219
0.836,0.363
0.554,0.049
0.773,0.452
0.493,0.054
0.460,0.067
0.453,0.479
